train,stations
train_1,"[Breda, Etten-Leur, Roosendaal, Dordrecht, Rotterdam Centraal, Rotterdam Alexander, Gouda, Alphen a/d Rijn, Gouda, Utrecht Centraal, Leiden Centraal]"
train_2,"[Apeldoorn, Zutphen, Dieren, Arnhem Centraal, Zutphen]"
train_3,"[Den Haag Laan v NOI, Leiden Centraal, Alphen a/d Rijn, Utrecht Centraal, Gouda, Leiden Centraal]"
train_4,"[Amsterdam Amstel, Amsterdam Centraal, Almere Centrum, Lelystad Centrum, Almere Centrum]"
train_5,"[Haarlem, Beverwijk, Castricum, Alkmaar, Hoorn, Zaandam, Alkmaar]"
train_6,"[Utrecht Centraal, s-Hertogenbosch, Tilburg, Breda, Dordrecht, Rotterdam Blaak, Schiedam Centrum, Delft, Den Haag Laan v NOI, Gouda, Alphen a/d Rijn, Leiden Centraal]"
train_7,"[Amsterdam Amstel, Almere Centrum, Lelystad Centrum, Almere Centrum]"
train_8,"[Utrecht Centraal, Amsterdam Amstel, Amsterdam Zuid, Schiphol Airport, Utrecht Centraal, Amsterdam Zuid, Leiden Centraal]"
train_9,"[s-Hertogenbosch, Oss, Nijmegen, Arnhem Centraal, Ede-Wageningen, Arnhem Centraal, Utrecht Centraal]"
train_10,"[Assen, Zwolle, Deventer, Apeldoorn, Amersfoort, Utrecht Centraal, Apeldoorn, Zwolle]"
train_11,"[Delft, Den Haag Centraal, Gouda, Alphen a/d Rijn, Gouda, Leiden Centraal, Utrecht Centraal]"
train_12,"[Zwolle, Almelo, Hengelo, Enschede, Hengelo]"
train_13,"[Rotterdam Centraal, Schiedam Centrum, Delft, Den Haag HS, Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Beverwijk, Castricum, Alkmaar, Den Helder, Alkmaar]"
train_14,"[Leeuwarden, Groningen, Assen, Zwolle, Amersfoort, Zwolle, Utrecht Centraal]"
train_15,"[Amsterdam Zuid, Schiphol Airport, Amsterdam Zuid, Leiden Centraal, Utrecht Centraal]"
train_16,"[Sittard, Heerlen, Sittard]"
score,2832.4157303370794
