train,stations
train_1,"[Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Beverwijk, Castricum, Alkmaar, Hoorn]"
train_2,"[Amsterdam Zuid, Amsterdam Sloterdijk, Haarlem, Beverwijk, Zaandam, Hoorn]"
train_3,"[Breda, Dordrecht, Rotterdam Centraal, Rotterdam Alexander, Gouda, Alphen a/d Rijn, Leiden Centraal, Schiphol Airport]"
train_4,"[Amsterdam Amstel, Amsterdam Zuid, Schiphol Airport, Amsterdam Zuid, Amsterdam Sloterdijk, Zaandam, Castricum, Alkmaar, Den Helder]"
train_5,"[Apeldoorn, Zutphen, Deventer, Apeldoorn, Amersfoort, Utrecht Centraal, Hilversum]"
train_6,"[Utrecht Centraal, Amsterdam Centraal, Almere Centrum, Lelystad Centrum]"
train_7,"[Dordrecht, Rotterdam Blaak, Rotterdam Alexander, Rotterdam Blaak, Schiedam Centrum, Delft, Den Haag Laan v NOI, Leiden Centraal, Alphen a/d Rijn]"
train_8,"[Delft, Den Haag HS, Gouda, Den Haag Centraal, Delft, Schiedam Centrum, Rotterdam Centraal, Schiedam Centrum, Delft, Den Haag Centraal, Gouda]"
train_9,"[Den Haag Centraal, Leiden Centraal, Den Haag Laan v NOI, Gouda, Den Haag HS, Leiden Centraal]"
train_10,"[Maastricht, Sittard, Heerlen, Sittard, Roermond, Weert, Eindhoven, Helmond]"
train_11,"[Heerenveen, Steenwijk, Zwolle, Amersfoort]"
train_12,"[Leeuwarden, Heerenveen, Leeuwarden, Groningen, Assen]"
train_13,"[Helmond, Venlo, Helmond, Eindhoven, s-Hertogenbosch]"
train_14,"[Amsterdam Amstel, Amsterdam Centraal, Amsterdam Sloterdijk, Zaandam, Beverwijk]"
train_15,"[Hilversum, Almere Centrum, Amsterdam Amstel, Almere Centrum]"
train_16,"[Utrecht Centraal, Gouda, Utrecht Centraal, Amsterdam Amstel, Hilversum]"
train_17,"[Utrecht Centraal, Schiphol Airport, Utrecht Centraal, Ede-Wageningen]"
train_18,"[Deventer, Almelo, Hengelo, Enschede, Hengelo, Almelo, Deventer, Zutphen, Dieren]"
train_19,"[Utrecht Centraal, s-Hertogenbosch, Oss, Nijmegen, Arnhem Centraal, Ede-Wageningen, Arnhem Centraal, Dieren, Zutphen, Dieren]"
train_20,"[s-Hertogenbosch, Tilburg, Breda, Etten-Leur, Roosendaal, Vlissingen]"
score,5431.483146067416
